p5,p6,matrix_size_x,matrix_size_y,p2,p1,p8,p7,p3,p4,performance
9,23,2855,1555,109,130,14,25,4,12,0.0239655
22,3,4519,1217,147,210,93,23,2,5,0.0314942
15,31,4176,3722,150,94,66,82,27,16,0.0642178
30,28,4824,3679,4,248,74,92,27,8,0.0634127
1,9,3267,4181,182,197,93,52,28,29,0.138625
12,14,4830,3479,237,96,13,60,23,31,0.0690404
29,12,3703,4469,57,236,12,50,24,0,0.0722995
2,5,2472,1361,94,230,1,49,16,17,0.0314248
16,10,3424,3943,208,90,19,15,26,3,0.0704527
8,6,1572,2035,148,189,31,39,9,24,0.0287699
18,5,3114,3832,188,41,65,87,3,5,0.043137
21,1,2972,1072,93,70,58,86,14,27,0.0175109
11,16,3154,2921,16,238,65,77,30,29,0.0488959
13,30,2486,2984,46,222,64,59,19,13,0.0366377
29,16,4700,1407,43,90,63,77,3,3,0.0240568
3,18,1484,3403,87,91,50,43,31,2,0.0202803
6,29,3866,4946,169,169,49,19,2,31,0.0927519
6,31,2789,3702,26,248,97,47,30,19,0.0536621
27,24,4357,1701,96,144,97,51,13,26,0.0322254
8,30,4036,3135,110,133,11,7,24,31,0.0740998
4,27,1634,3440,78,228,60,94,22,3,0.0286652
5,10,4429,2560,152,230,36,48,30,6,0.0652194
32,30,3815,4489,224,220,98,92,21,27,0.0692964
4,16,2959,4375,185,30,47,86,6,13,0.0510619
13,3,2722,2764,186,208,4,53,7,27,0.0403224
15,17,1996,1859,209,134,83,81,25,21,0.0314961
32,1,3413,2227,51,46,73,56,18,27,0.0418591
31,13,3012,2804,86,114,21,9,20,14,0.0573527
5,24,2886,4953,128,146,52,34,25,20,0.0597517
13,17,4963,1577,9,202,66,16,17,20,0.0337688
17,12,3724,1263,167,178,45,94,18,15,0.0279166
20,18,4254,2163,204,79,33,64,13,3,0.0385408
25,20,1356,4706,50,77,9,78,27,17,0.0271028
2,1,3925,4354,157,38,55,6,13,28,0.159207
17,7,3162,1120,177,146,94,48,9,11,0.0240778
15,28,4261,3918,84,25,38,11,11,2,0.11839
31,12,1140,4155,80,165,65,53,30,28,0.0142208
1,26,1269,4587,207,17,65,24,6,16,0.0200233
2,2,4469,4814,164,8,8,40,1,13,0.520941
23,27,3614,3823,34,115,98,77,31,27,0.0589183
28,12,3350,2293,244,132,29,38,1,16,0.0449126
6,30,2990,1943,75,152,27,96,23,24,0.0341297
25,26,3837,2210,97,202,14,86,22,27,0.0390599
14,29,2607,4970,71,156,8,61,9,20,0.0362018
1,14,3153,1169,206,80,40,53,14,1,0.0375326
30,16,2738,3803,224,201,31,49,13,5,0.0431413
9,29,3638,2654,132,140,15,3,22,4,0.0427076
23,31,2264,2397,176,82,10,49,22,15,0.0498539
17,3,4634,3463,105,180,42,70,21,4,0.0587297
9,23,3457,3217,122,237,36,93,31,30,0.061923
25,25,2970,4334,209,215,46,95,15,20,0.0458187
7,3,4746,2902,104,236,15,44,15,2,0.0611066
19,19,4114,1649,31,165,54,41,32,24,0.0313346
24,7,2929,4193,256,51,3,19,18,16,0.168948
26,8,2027,1786,34,188,46,64,11,7,0.0328854
28,10,3269,1363,233,189,42,16,17,26,0.0342218
7,6,3838,1512,168,78,11,80,8,20,0.0256234
17,5,3739,3891,150,52,35,14,15,2,0.0659156
22,27,2895,4176,140,219,77,21,22,25,0.0648774
10,4,4241,3330,87,171,80,43,17,11,0.0617876
7,19,1705,1038,48,35,56,14,4,10,0.012088
7,26,2339,1138,32,15,7,2,30,20,0.100145
6,7,4864,3524,100,22,31,45,12,7,0.111279
24,31,1125,2972,56,229,84,84,23,9,0.0157383
